CER Category					Examples	AutoExpanded
		Behaviors			behavior, conscious behavior, environmental behavior, conduct, comportment, demeanor, deportment, manner, tendency, competative, aggression, aggressively, friendly	behavior, conscious behavior, environmental behavior, conduct, comportment, demeanor, deportment, manner, tendency, competative, agression, agressively, |, environmental-behavior, conducted, conscious-behavior, conductor, tendencies, manners, conductivity, conducting, behaviors, deportments, conducts, conductive, conductors
			inherited behavior		instinct, inherited behavior, heredity, inherit, inherited, instinctually	instinct, inherited behavior, heredity, inherit, inherited, instinctually, |, instinctive, inheriting, inheritance, inherits, instincts, inherited-behavior
			learned behavior		routine, habit, learned behavior, acquired, modus operandi, habitual method, habitual behavior, wont, customs, traditions, learned, learn	routine, habit, learned behavior, acquired, modus operandi, habitual method, habitual behavior, wont, customs, traditions, learned, learn, |, habitual-method, habitual-behavior, habits, acquires, routines, acquiring, modus-operandi, learns, learned-behavior, learnt, learning, acquire
		Other animal properties			fertile, adaptable,  endothermic, ectothermic, hairy, slimy, warm-blooded, cold-blooded, gender, instinct, eye color, personality,  non-migratory, territorial, domestic, sleepy, hoofed, aggressive, fittest, scar, social, athletic, intelligence, appetite, voices, deaf, actively, migratory	fertile, adaptable, endothermic, ectothermic, hairy, slimy, warm-blooded, cold-blooded, gender, instinct, eye color, personality, non-migratory, territorial, domestic, sleepy, hoofed, aggressive, fittest, scar, social, athletic, intelligence, appetite, voices, deaf, |, fits, fitter, fitted, deafer, hairiest, athletics, warm blooded, instinctive, eye-color, domestics, slimier, personalities, voice, slimiest, territorials, aggressively, scarring, sleepier, gendered, voiced, scars, gendering, fertiles, deafest, cold blooded, non migratory, scarred, voicing, genders, hairier, instincts, socials, fitting, appetites, sleepiest
			Gender		female, male, maleness, masculinity, androgyny, hermaphroditism, femaleness, feminineness, femininity, nonbinary, sex	female, male, maleness, masculinity, androgyny, hermaphroditism, femaleness, feminineness, femininity, nonbinary, sex, |, femininities, sexed, sexes, males, masculinities, sexual, malenesses, females, sexually, sexuality, sexing
			Other human properties		blood type, humor, honesty, leadership, handedness, kindness, wisdom, duty, curiosity, mind, creative, enthusiasm, fatigued, professionalism, resourcefulness, wisely, funny, affection, facial, memories, complimentary, personal, busy, happy	blood type, humor, honesty, leadership, handedness, kindness, wisdom, duty, curiosity, mind, creative, enthusiasm, fatigued, professionalism, resourcefulness, wisely, funny, affection, facial, memories, complimentary, personal, busy, happy, |, handednesses, minds, leaderships, funnier, kindnesses, busied, happier, busies, humored, funniest, fatiguing, funnies, busying, wisdoms, minding, busier, happiest, facials, curiosities, enthusiasms, humors, fatigues, humoring, personals, creatives, humorous, blood-type, duties, minded, busiest, affections
	Physical property				dense, density, height, surface area, weight, physical property, conductivity, form, anatomic feature, anatomy, distribution, texture, volume, viscosity, empty, physically, physical, physical characteristic, physical feature, structurally, intact, anatomical	dense, density, height, surface area, weight, physical property, conductivity, form, anatomic feature, anatomy, distribution, texture, volume, viscosity, empty, physically, physical, physical characteristic, physical feature, structurally, intact, |, empties, emptying, anatomic-feature, densely, weighting, physical-characteristic, formation, denser, weights, surface-area, conducted, physical-feature, volumes, densities, conductor, forming, physical-property, heights, weightings, formations, anatomies, texturing, distributions, viscosities, textured, conducting, forms, formed, physicals, emptiest, conducts, weighted, textures, emptier, conductive, densest, conductors, emptied
		Conductivity			conductivity; conducts heat, conducts electricity, conducts sound, photoconductivity, superconductivity, non-conductive, conduction, electrically	conductivity, conducts heat, conducts electricity, conducts sound, photoconductivity, superconductivity, non-conductive, conduction, electrically, |, conductions, non conductive, conducts-electricity, conducted, conductor, conducting, conducts-heat, conducts, conductive, conductors, conducts-sound
		Temperature			temperature, cool, hot, warm, cold, room temperature, unevenly heated, overheated, warmer, coldest, mild, thermal, cooler, coolest, hotter, hottest, warmer, warmest, colder, coldest, heated, cooled, heating, cooling, moderate, high, low	temperature, cool, hot, warm, cold, room temperature, unevenly heated, overheated, warmer, coldest, mild, thermal, cooler, coolest, hotter, hottest, warmer, warmest, colder, coldest, heated, cooled, heating, cooling, moderate, high, low, |, hotting, warmed, thermals, unevenly-heated, warming, mildly, mildest, lowest, colds, room-temperature, higher, temperatures, lowing, lower, overheat, moderating, warmth, highest, overheats, moderated, moderates, lowed, heats, lows, highs, milder, hots, warms, heat, cools, overheating, hotted
		Composition			composition, chemical composition, metallic, rocky, icy, porous, concentration, carbonic, salty, makeup, natural, synthetic, terrestrial, granitic, crystalline, soapy, electronic	composition, chemical composition, metallic, rocky, icy, porous, concentration, carbonic, salty, makeup, natural, synthetic, terrestrial, granitic, crystalline, |, composes, saltier, iciest, terrestrials, rockiest, synthetics, icier, natures, makeups, compositional, concentrations, composed, nature, saltiest, chemical-composition, rockier, composing, compositions
		Mass			mass, heavy, light, biomass, lightweight, hefty, massive, ponderous, weighty, featherlight, airy, buoyant, lighter, lightest, heavier, heaviest, weigh, buoyancy, buoyancies, compact, packed, weighs, eight-pound, 64-g	mass, heavy, light, biomass, lightweight, hefty, massive, ponderous, weighty, featherlight, airy, buoyant, lighter, lightest, heavier, heaviest, weigh, buoyancy, buoyancies, compact, packed, weighs, |, lights, compacting, packs, airier, weight, biomasses, compactest, compacter, lighting, weighed, lightness, heftiest, packing, massed, masses, compacted, lit, airiest, heftier, massing, weightiest, weighing, lightweights, weightier, heavies, lighted, compacts
		Distance			distance, 100-meter, 200-meter	distance, |, distancing, distances, distanced
		Shape			shape, long, elliptical, spiral, irregular, oval, circular, convex, concave, flat, radial symmetry, U-shaped, three-dimensional, two-dimensional, straighter, hollow, cone-shaped, uneven, well-rounded, round, spherical, uniformly shaped, rounded, curved, geometric, thread-like, box-like, ball, asymmetrical, symmetry, curly, arrow, triangular, cylindrical, perimeter, six-sided	shape, long, elliptical, spiral, irregular, oval, circular, convex, concave, flat, radial symmetry, u-shaped, three-dimensional, two-dimensional, straighter, hollow, cone-shaped, uneven, well-rounded, round, spherical, uniformly shaped, rounded, curved, geometric, thread-like, box-like, ball, asymmetrical, symmetry, curly, arrow, triangular, cylindrical, |, box like, curlier, rounding, spirals, flattest, arrows, hollows, shapes, three dimensional, circulars, flatter, longing, cone shaped, straightest, spiralling, symmetries, radial-symmetry, u shaped, hollower, hollowed-out, asymmetric, spiraling, two dimensional, thread like, flats, balled, balling, rounds, longed, u-shape, curliest, geometrical, curving, longs, hollowed, straights, shaped, rounder, hollowest, spiraled, balls, uniformly-shaped, hollowing, longest, irregulars, well rounded, spiralled, curves, longer, ellipticals, shaping, ovals, roundest
		Size			size, big, small, large, size, diameter, radius, thin, thick, volume, carrying capacity, tiny, prominent, thickest, smaller, smallest, larger, largest, bigger, biggest, tinier, tiniest, microscopic, extensive, huge, large-scale, enormous, handheld, hand-held, giant, molecular	size, big, small, large, size, diameter, radius, thin, thick, volume, carrying capacity, tiny, prominent, thickest, smaller, smallest, larger, largest, bigger, biggest, tinier, tiniest, microscopic, extensive, huge, large-scale, enormous, handheld, hand-held, giant, molecular, |, large scale, carrying-capacity, thicker, diameters, huger, thinned, radiuses, volumes, thinnest, radii, hugest, thinner, thinning, giants, sizing, thins, sizes, handhelds, sized, hand held, smalls
			Height		low, tall, short, high, elevation, altitude, high-altitude, highest, height, highness, loftiness, lowness, shorter, taller, higher, lower, shortest, tallest, highest, lowest, tallness, shortness, lofty	low, tall, short, high, elevation, altitude, high-altitude, highest, height, highness, loftiness, lowness, shorter, taller, higher, lower, shortest, tallest, highest, lowest, tallness, shortness, lofty, |, shorts, elevations, lowing, altitudes, shorted, heights, loftier, lowed, lows, loftiest, highs, highnesses, shorting, high altitude
			Depth		deep, shallow, deepest, depth, deepness, profundity, profoundness, shallowness, penetration, deeper, shallower, shallowest, profound, abyssal, bottomless, unfathomed, unplumbed, unsounded, superficial	deep, shallow, deepest, depth, deepness, profundity, profoundness, shallowness, penetration, deeper, shallower, shallowest, profound, abyssal, bottomless, unfathomed, unplumbed, unsounded, superficial, |, shallows, shallowed, shallowing, profundities, depths, penetrations, profounder, deeps, profoundest
			Width		wide, narrow, thin, thick, thickness, width, breadth, wideness, broadness, broad, wider, narrower, thinner, thicker, broader, widest, narrowest, thinnest, thickest, broadest, slender, skinny	wide, narrow, thin, thick, thickness, width, breadth, wideness, broadness, broad, wider, narrower, thinner, thicker, broader, widest, narrowest, thinnest, thickest, broadest, slender, |, widths, slenderest, slenderer, thinned, narrowing, breadths, narrows, broads, thinning, thins, narrowed, thicknesses, wides
			Length		long, short, length, longness, shortness, longer, shorter, longest, shortest	long, short, length, longness, shortness, longer, shorter, longest, shortest, |, shorts, longing, shorted, longed, longs, lengths, shorting
		Wetness			wet, dry, damp, driest, wetter, moist, bedewed, dewy, besprent, boggy, marshy, miry, mucky, muddy, quaggy, sloppy, sloughy, soggy, squashy, swampy, waterlogged, clammy, dank, damp, dampish, sodden, soppy, drippy, drizzly, humid, misty, muggy, steamy, sticky, watery, rheumy, tacky, undried, watery, adust, baked, parched, scorched, sunbaked, air-dried, air-dry, arid, waterless, bone-dry, bone dry, desiccated, dried-out, dried, dried up, sere, sear, shriveled, withered, rainless, semiarid, semi-dry, drier, wettest, saturated, soaking	wet, dry, damp, driest, wetter, moist, bedewed, dewy, besprent, boggy, marshy, miry, mucky, muddy, quaggy, sloppy, sloughy, soggy, squashy, swampy, waterlogged, clammy, dank, damp, dampish, sodden, soppy, drippy, drizzly, humid, misty, muggy, steamy, sticky, watery, rheumy, tacky, undried, watery, adust, baked, parched, scorched, sunbaked, air-dried, air-dry, arid, waterless, bone-dry, bone dry, desiccated, dried-out, dried, dried up, sere, sear, shriveled, withered, rainless, semiarid, semi-dry, drier, wettest, saturated, soaking, |, muddier, baking, shriveling, muddiest, stickier, danker, clammier, dankest, shrivelled, muddying, moister, parches, moisture, swampier, dewier, marshier, shrivelling, spun, dryer, mistiest, dried-up, withering, stickiest, boggiest, spin-drying, boggier, dried out, squashier, wetness, air dry, dryers, desiccates, searing, soaked, wetting, shrivels, soaks, air dried, moistest, steamier, wetted, drying, desiccating, muckiest, sloppier, swampiest, dries, soppier, muddies, muddied, squashiest, muggier, bakes, withers, muckier, scorches, damped, dewiest, damps, soggiest, soak, parching, damper, marshiest, muggiest, mistier, tackiest, seared, scorching, sloppiest, tackier, semi dry, air-dries, air-drying, saturating, waterier, sears, mirier, steamiest, clammiest, damping, dampest, wets, soggier, spin-dries, soppiest, saturates, spin-dried
		Texture			texture, smooth, rough, waxy, rocky, slippery, porous, coarse, grainy, gritty, squishy, spiky, glassy, scaley, scaly, thick, sharp, bristly, wrinkled, wrinkly, boney, fleshy, powdery	texture, smooth, rough, waxy, rocky, slippery, porous, coarse, grainy, gritty, squishy, spiky, glassy, scaley, thick, sharp, bristly, wrinkled, wrinkly, boney, fleshy, powdery, |, slipperier, glassier, waxier, grittiest, fleshier, rockiest, smoothes, sharps, thickest, smoothing, bristliest, fleshiest, grittier, wrinkling, thicker, slipperiest, squishiest, grainier, roughed, smoother, glassiest, wrinkles, coarsest, sharply, roughness, roughest, sharper, bristlier, texturing, coarser, smoothed, textured, smoothness, roughs, rougher, roughing, sharpest, smoothest, textures, rockier, smooths, wrinklier, coarsely, waxiest, spikier, spikiest
		Material			material, materials	material, materials, |
			Synthetic Material		plastic, glass, rubber, fiberglass, foam, Styrofoam, rayon, polyester, kevlar, synthetics, synthetic material	plastic, glass, rubber, fiberglass, foam, styrofoam, rayon, polyester, kevlar, synthetics, synthetic material, |, glassing, polyesters, fiberglasses, rubbers, rayons, synthetic-material, plastics, foaming, foams, foamed, glasses, glassed
			Natural Material		clay, soil, wood, paper, natural material, cardboard, ceramic, cotton, wool, leather, topsoil, cork, fibers	clay, soil, wood, paper, natural material, cardboard, ceramic, cotton, wool, leather, topsoil, cork, fibers, |, papers, wooded, cottoned, corking, wooding, leathered, cottoning, soiled, leathering, ceramics, leathers, papering, woods, woolen, soiling, wools, natural-material, soils, cottons, papered, woollen, corked, wooden, corks, clays, cardboards
		Rigidity			rigid, flexible, loose, brittle, rigidity, rigidness, inflexible, flexibility, inflexibility, inflexibleness, packed, elastic, tensile, compact, flaky, viscous, putty-like	rigid, flexible, loose, brittle, rigidity, rigidness, inflexible, flexibility, inflexibility, inflexibleness, packed, elastic, tensile, compact, |, compacting, packs, compactest, brittlest, looser, compacter, loosest, loosened, loosen, packing, compacted, looseness, brittler, loosens, loosening, flexibilities, elastics, loosed, looses, elasticity, rigidities, loosing, compacts, rigidly
		Resistance/Strength			water-resistant, resistant, heat-resistant, insulator, strong, weak, insulated, acid-resistant, intense, tolerant, strength, strongly, delicate, gentle, tightly, tough, tensile strength, tight, sensitive, strength, ductility, malleability, sturdy, malleable, forcefully, tolerance	water-resistant, resistant, heat-resistant, insulator, strong, weak, insulated, acid-resistant, intense, tolerant, strength, strongly, delicate, gentle, tightly, tough, tensile strength, tight, sensitive, strength, ductility, malleability, sturdy, malleable, forcefully, |, gentler, delicately, insulating, tightening, acid resistant, insulates, gentlest, weaker, resistants, weakest, tensile-strength, strengths, tougher, weakness, sturdier, intenser, toughest, insulators, strongest, heat resistant, weakening, tights, stronger, tighter, tightest, intensest, toughs, sturdiest, water resistant, weakened
		Hardness			soft, brittle, hard, hardness, firmness, incompressibility, compressible, incompressible, compressibility, chewable, bony	soft, brittle, hard, hardness, firmness, incompressibility, compressible, incompressible, compressibility, chewable, |, brittlest, firmnesses, compressibilities, brittler, softer, hardest, hardnesses, softest, harder, softs
		Permeability			permeable, impermeable, semi-permeable, porous, pervious, impervious, leaky, absorbent, waterproof, semipermeable	permeable, impermeable, semi-permeable, porous, pervious, impervious, leaky, absorbent, waterproof, semipermiable, |, absorbents, waterproofing, semi permeable, leakier, waterproofed, leakiest, waterproofs
		Magnetic			magnetic, nonmagnetic, ferromagnetic, magnetic field, magnetic flux, magnetize, magnetized, magnetization	magnetic, nonmagnetic, ferromagnetic, magnetic field, magnetic flux, magnetize, magnetized, magnetization, |, magnetizes, magnetic-field, magnetic-flux, magnetizations, magnetizing
		Electrical Property			electrical property, charge, electrical conductivity, electrical resistivity, conductivity, conductor, resistance, capacitance, inductance, resistive, capacitive, inductive, neutrally-charged	electrical property, charge, electrical conductivity, electrical resistivity, conductivity, conductor, resistance, capacitance, inductance, resistive, capacitive, inductive, |, electrical-resistivity, capacitor, electrical-conductivity, inductor, inductances, electrical-property, conducted, charging, capacitors, charges, charged, conducting, resistances, conducts, conductive, capacitances, conductors, inductors
	Properties of food				fresh, shelf life, spoiled, rot, rotten, gone bad, unfermented, soured, preserved, unripe, ripe, appetizing, undigested, calcium-fortified, ripening	fresh, shelf life, spoiled, rot, rotten, gone bad, unfermented, soured, preserved, unripe, ripe, appetizing, undigested, calcium-fortified, ripening, |, freshes, ripest, ripened, rotted, spoil, ripens, freshest, rotting, shelf-lives, freshing, rots, shelf-life, sourer, sourest, preserving, spoils, ripen, freshed, sours, preserves, gone-bad, spoiling, fresher, souring, spoilt, calcium fortified, riper
	Mineral properties				cleavage, fracture, hardness, luster, streak, structure, composition, color, crystalline structure, crystal structure, diaphaneity, amount of transparency, tenacity, magentism, odor, taste, specific gravity	cleavage, fracture, hardness, luster, streak, structure, composition, color, crystalline structure, crystal structure, diaphaneity, amount of transparency, tenacity, magentism, odor, taste, specific gravity, |, composes, tasted, structuring, coloring, crystal-structure, streaks, structures, specific-gravity, colored, compositional, crystalline-structure, colors, cleavages, lusters, composed, fracturing, streaking, odors, tasting, tastes, streaked, amount-of-transparency, hardnesses, fractured, composing, fractures, compositions, structured, tastings
	Quality				good, bad, useful, great, catastrophic, profound, adequate, best, crucial, quality, important, major, reasonable, clean, significant, unfavorable, high-quality, usable, keen, practical, helpful, desirable, favored, effective, neutral, properly, sufficiently, detrimental, pleasant, proper, ideal, effectiveness, productive, excellent, favorite, desirable, due, real, fair, attractive, favorable, effectively, enjoy, inconsistent, fine, dirty, sufficient	good, bad, useful, great, catastrophic, profound, adequate, best, crucial, quality, important, major, reasonable, clean, significant, unfavorable, high-quality, usable, keen, practical, helpful, desirable, favored, effective, neutral, properly, sufficiently, detrimental, pleasant, proper, ideal, effectiveness, productive, excellent, favorite, desirable, |, welled, goodest, gooders, majors, ideals, favors, keener, cleaner, wells, cleanest, cleans, big, majored, majoring, high quality, biggest, well, welling, neutrals, gooder, pleasantest, highest-quality, keened, keenest, higher-quality, cleaned, greatest, greats, profounder, goods, practicals, qualities, keening, keens, profoundest, bigger, better, effectivenesses, favorites, greater, cleaning, favor, favoring, pleasanter
	Rarity				typical, rare, common, commonly, abnormal, unusual, conventional, common enough, abundant, usual, average, prevalence, everyday, available, nonrenewable, renewable, limited, scarce, unlimited, unavailable, abundant, plentiful, rampant, profuse, typically, particular, familiar, prevalent, rarity, widely, tends, unusually, universal, special, unique, random, rarely	typical, rare, common, commonly, abnormal, unusual, conventional, common enough, abundant, usual, average, prevalence, everyday, available, nonrenewable, renewable, limited, scarce, unlimited, unavailable, abundant, plentiful, rampant, profuse, typically, particular, familiar, prevalent, rarity, widely, tends, unusually, universal, special, unique, random, |, particularly, averages, profusely, particulars, renewables, rarities, familiars, commonner, common-enough, averaging, abnormalities, commonest, limiting, specials, commonnest, commoner, scarcest, abnormality, rarest, tend, scarcer, averaged, tended, rarer, commons, prevalences, universals, limits, tending, usually
	Speed				fast, slow, quick, slowly, rapidly, rapid, immediate, gradual, faster, slower, fastest, slowest, sudden, gradually, quickly	fast, slow, quick, slowly, rapidly, rapid, immediate, gradual, faster, slower, fastest, slowest, sudden, gradually, quickly, |, quickest, fasts, fasted, fasting, quicker, rapids, rapider, slowed, rapidest, slows, slowing
	Complexity				simple, complex, directly, raw , complicated, composite, decomposable, intricate, uncomplicated, unanalyzable, simplex, simplistic, extensive, bare, obvious, simply, various, explainable, diverse, complexity	simple, complex, directly, raw, complicated, composite, decomposable, intricate, uncomplicated, unanalyzable, simplex, simplistic, extensive, bare, obvious, simply, various, explainable, diverse, complexity, |, barest, directed, complicates, rawer, simplices, directs, bares, simplicia, simpled, compositing, complexed, direct, bared, composited, simples, complexing, obviously, baring, complexities, barings, composites, simplest, barer, simplexes, intricately, complicating, complexes, directing, simpling, simpler, rawest
	Visual Property				reflective, shiny, appearance, dull, opaque, polished, symmetrical, milky, polished, scraped, turbidity, faded, invisible, visible, clarity, transparency, reflectivity, exposure, nonmetallic, transparent, visibility, observable, translucent, speckled, marking, markings, bulging, striped, decoration, tortoiseshell, prettiest, reflectiveness, beautiful, visual, visually, pretty, focus, bulge, optical	reflective, shiny, appearance, dull, opaque, polished, symmetrical, milky, polished, scraped, turbidity, faded, invisible, visible, clarity, transparency, reflectivity, exposure, nonmetallic, transparent, visibility, observable, translucent, speckled, marking, markings, bulging, striped, decoration, toroiseshell, prettiest, reflectiveness, beautiful, |, speckles, scraping, duller, dulled, transparencies, speckling, scrapes, shinier, marks, observables, appearances, dulls, visibler, reflection, fades, marked, dullest, turbidities, shiniest, symmetrically, fading, milkiest, visiblest, reflecting, milkier, clarities, exposures, dulling, decorations, prettier, fade, reflected, polishes, bulged, visibilities, polishing, scrape, reflectivities, stripes, striping, reflects, bulges
		Color			orange, color, red, blue, white, yellow, grey, green, violet, black, sepia, ebony, indigo, brown, amber, amethyst, apricot, aquamarine, azure, baby blue, beige, black, blue, blue-green, blue-violet, blush, bronze, brown, burgundy, byzantium, carmine, cerise, cerulean, champagne, chartreuse green, chocolate, cobalt blue, coffee, copper, coral, crimson, cyan, desert sand, electric blue, emerald, erin, gold, gray, green, harlequin, indigo, ivory, jade, jungle green, lavender, lemon, lilac, lime, magenta, magenta rose, maroon, mauve, navy blue, ochre, olive,  orange, orange-red, orchid, peach, pear, periwinkle, persian blue, pink, plum, prussian blue, puce, purple, raspberry, red, red-violet, rose, ruby, salmon, sangria, sapphire, scarlet, silver, slate gray, spring bud, spring green, tan, taupe, teal, turquoise, ultramarine, violet, viridian, white, yellow, brownish, colorful, pigment, reddish, pale, reddish, roan, greenish, colorless, uncolored, grayish-white	orange, color, red, blue, white, yellow, grey, green, violet, black, sepia, ebony, indigo, brown, amber, amethyst, apricot, aquamarine, azure, baby blue, beige, black, blue, blue-green, blue-violet, blush, bronze, brown, burgundy, byzantium, carmine, cerise, cerulean, champagne, chartreuse green, chocolate, cobalt blue, coffee, copper, coral, crimson, cyan, desert sand, electric blue, emerald, erin, gold, gray, green, harlequin, indigo, ivory, jade, jungle green, lavender, lemon, lilac, lime, magenta, magenta rose, maroon, mauve, navy blue, ochre, olive, orange, orange-red, orchid, peach, pear, periwinkle, persian blue, pink, plum, prussian blue, puce, purple, raspberry, red, red-violet, rose, ruby, salmon, sangria, sapphire, scarlet, silver, slate gray, spring bud, spring green, tan, taupe, teal, turquoise, ultramarine, violet, viridian, white, yellow, brownish, colorful, pigment, reddish, pale, reddish, roan, greenish, colorless, uncolored, |, graying, silvered, roans, marooned, yellower, greys, aquamarines, spring-bud, greyed, tanning, sapphires, rises, spring-green, lemons, coloring, blue green, greyest, pales, coffees, greener, crimsonest, teals, paling, crimsoner, prussian-blue, yellowed, reds, orchids, magenta-rose, greens, tanner, orange red, silvering, crimsons, cobalt-blue, purplest, lavenders, whitest, bluing, blacks, periwinkles, blacking, beiges, greyer, jungle-green, tans, blues, orchidaceae, whites, magentas, mauver, turquoises, grayest, grays, browner, raspberries, red violet, browning, peaches, silvers, blackest, pinkest, yellows, pinker, blushed, colored, taupes, blued, rising, reddest, browns, ivories, electric-blue, desert-sand, champagnes, indigoes, mauves, golds, scarlets, chocolates, liming, indigos, grayed, bronzing, azures, mauvest, olives, coppers, slate-gray, purpler, colors, bronzest, bronzed, pigmentation, bluer, emeralds, greenest, ebonies, bronzer, persian-blue, maroons, reddish-brown, bronzes, harlequins, plums, corals, pigments, redder, rubies, paler, pinked, navy-blue, yellowest, apricots, risen, paled, violets, salmons, pears, pinking, blushes, burgundies, greying, purples, blacker, browned, beiger, orangest, bluest, yellowing, blacked, palest, limed, grayer, blueing, marooning, brownest, blushing, whiter, golden, limes, oranger, blue violet, beigest, pinks, oranges, amethysts, tanned, baby-blue, chartreuse-green, lilacs
		Brightness			brightness, luminosity, bright, dark, glowing, lighted, sunny, dimmest, intensity, lit, luminance, incandescent, glowing, illuminated, glare, glares, dim	brightness, luminosity, bright, dark, glowing, lighted, sunny, dimmest, intensity, lit, luminance, incandescent, glowing, illuminated, glaare, |, lights, dimming, darker, lighting, brighter, lightness, illuminating, glow, dimmed, luminances, darks, brightnesses, lighter, luminosities, darkest, dims, dimmer, sunnier, illuminates, glows, sunniest, glowed, brightest, lightest, intensities
	Temporal property				long, short, length, variance, spontaneous, rapid, relativly short, long-term, future, past, passed, near-term, short-term, temporarily, recent, initial, ultimately, next, shortly, final, last, first, instantly, originally, final, shortly, again, original, newly, ultimately, instantaneously, finally, preexisting, definite, post-translational, prior, instant, traditional, outdated, suddenly, prolonged, anymore, presently, ongoing, initially, immediately, already, yet, ever	long, short, length, variance, spontaneous, rapid, relativly short, long-term, future, past, passed, near-term, short-term, temporarily, recent, initial, ultimately, next, shortly, final, last, first, instantly, originally, final, shortly, again, original, newly, ultimately, instantaneously, finally, preexisting, definite, post-translational, prior, instant, traditional, outdated, |, lasting, shorts, finals, traditionally, long term, futures, near term, initials, longing, outdates, preexisted, passes, preexists, shorted, pasts, initialing, initialed, passing, short term, recently, longed, longer-term, initialled, shorter, rapids, originals, longs, outdating, initialling, lasted, instants, variances, longest, lengths, rapider, relativly-short, longer, rapidest, rapidly, shortest, post translational, lasts, spontaneously, shorting, priors
	Property of motion				speed, momentum, acceleration, velocity, rate, fast-flowing, movement, abrupt, fluid, jerky, calm, displacement, motionless, frictionless, uniformly, still, independently, mechanically, contractile, rotational, swift-moving	speed, momentum, acceleration, velocity, rate, fast-flowing, movement, abrupt, fluid, jerky, calm, displacement, motionless, frictionless, uniformly, still, independently, mechanically, contractile, |, abruptest, abrupter, movements, stilling, calmest, sped, stilled, calmer, moves, stillest, motion, moving, fast flowing, calming, momentums, velocities, calmed, calms, stills, speeding, rating, rates, displacements, speeds, momenta, fluids, jerkiest, ratings, rated, speeded, motions, moved, jerkier, stiller, accelerations
		Stability			fixed, moveable, constant, stable, stability, steady, static, unchanging, unchangeable, changeable, mutable, gravitationally locked, stationary, reversible, noble (inert), inert, mobile, undisturbed, removable, steadily, noble	fixed, moveable, constant, stable, stability, steady, static, unchanging, unchangeable, changeable, mutable, gravitationally locked, stationary, reversible, noble (inert), inert, mobile, undisturbed, removable, |, stables, statics, stabilities, mobiles, steadying, moveables, steadiest, stablest, steadier, stabler, constants, steadies, fixing, noble-(inert), fixes, gravitationally-locked, stabled, stabling, steadied
	Position				position, horizontal, parallel, perpendicular, sitting, standing, lying down, kneeling, upright, local, fallen, continuous, close, northern, southern, eastern, western, northwestern, northeastern, southwestern, southeastern, outer, upper, incoming, gradient, apart, vertical, surrounding, front, closely, upper, locally, steepest, landlocked, proximity, steep, backwards, seated, coiled, looped, against, lying, sideways, hanging, curled, dorsal, central, overlapping, externally, elevated, prominent, prominence, prominences, axial, on, transverse, amongst	position, horizontal, parallel, perpendicular, sitting, standing, lying down, kneeling, upright, local, fallen, continuous, close, northern, southern, eastern, western, northwestern, northeastern, southwestern, southeastern, outer, upper, incoming, gradient, apart, vertical, surrounding, front, closely, upper, locally, steepest, landlocked, proximity, steep, backwards, seated, coiled, looped, against, lying, sideways, hanging, curled, dorsal, central, overlapping, externally, elevated, |, lying-down, paralleling, coils, laying, overlapped, lay, surrounds, uppers, outers, hung, sits, paralleled, steeping, northerns, closed, hanged, positioned, fell, stands, steeply, locals, fronted, closing, elevating, positioning, knelt, closer, outermost, steeper, steeps, parallelling, fronting, backward, stand, uprights, centrals, kneels, falls, horizontals, hangs, positions, lies, verticals, perpendiculars, overlaps, closes, kneeled, curls, gradients, steeped, lied, westerns, parallels, vertically, proximities, curling, lain, stood, seating, surrounded, seats, loops, closest, sat, looping, parallelled, fronts, coiling, elevates, falling, horizontally
	Properties of waves				wavelength, frequency, speed, amplitude, phase	wavelength, frequency, speed, amplitude, phase, |, sped, phases, wavelengths, speeding, speeds, phased, speeded, amplitudes, frequencies, phasing
	Safety				safe, safer, safest, harmful, dangerous, reliable, danger, vulnerable, unhazardous, hazardous, risky, threatening, prepared, exposure, toxic, safety, harmless, careful, safely, inedible, cancerous, unsafe, safely, shielded, caution	safe, safer, safest, harmful, dangerous, reliable, danger, vulnerable, unhazardous, hazardous, risky, threatening, prepared, exposure, toxic, safety, harmless, careful, safely, inedible, cancerous, unsafe, safely, shielded, |, safeties, threatened, safes, carefully, prepare, vulnerablest, threatens, riskier, dangers, harms, preparing, shields, toxics, harmed, vulnerabler, exposures, shielding, harming, prepares, threaten, riskiest
	Cost				expensive, inexpensively, affordable, efficiently, energy-saving, fuel efficient, cheapest, inexpensive, cost, luxurious, thrifty, economically, valuable, inexpensive, inefficient, economical	expensive, inexpensivly, affordable, efficiently, energy-saving, fuel efficient, cheapest, inexpensive, cost, luxurious, thrifty, economically, valuable, inexpensive, inefficient, economical, |, thriftiest, valuables, cheap, affords, costed, energy saving, afford, cheaper, afforded, thriftier, costing, affording, fuel-efficient, costs
	Property of production				conventionally produced, organically produced, organic, coal-fired, manmade, man-made, custom-made, mass production, custom, assembly line, handcrafted, crafted, batch-made, produced, artificial, productive, economically	conventionally produced, organically produced, organic, coal-fired, manmade, man-made, custom-made, mass production, custom, assembly line, handcrafted, crafted, batch-made, produced, artificial, productive, economically, |, produce, organics, custom made, assembly-line, mass-production, mass-produce, handcrafting, products, organically-produced, producing, mass-produces, conventionally-produced, batch made, handcrafts, produces, customs, crafting, man made, coal fired, mass-producing, mass-produced, crafts, craftsmen
